customer_id,country,city,tenure_days,freq,monetary,avg_amount,max_amount,recency_days,avg_gap_days,label_churn
1001,IN,Delhi,216,4,747.345631337,186.8364078343,305.8068682143,9.0,60.6666666667,0
1002,UK,London,90,3,543.9962227175,181.3320742392,296.6676839346,23.0,9.5,1
1003,US,NYC,138,2,720.3052244343,360.1526122171,540.1838121493,44.0,83.0,0
1004,IN,Delhi,167,2,551.1185035829,275.5592517915,457.4659718729,48.0,37.0,0
1005,SG,Singapore,264,6,1345.9331095394,224.3221849232,376.4396389374,93.0,15.4,0
1006,IN,Delhi,264,3,693.8092029575,231.2697343192,482.4296368345,69.0,48.0,0
1007,IN,Bengaluru,286,6,1147.6302007376,191.2717001229,466.6828870437,77.0,20.8,1
1008,US,Austin,108,3,294.9395624752,98.3131874917,107.8187761038,17.0,39.0,0
1009,SG,Singapore,166,1,104.989975932,104.989975932,104.989975932,20.0,,1
1010,SG,Singapore,143,1,299.0674810317,299.0674810317,299.0674810317,27.0,,0
1011,SG,Singapore,294,8,1194.5921772901,149.3240221613,198.0670359983,35.0,16.8571428571,0
1012,US,SF,86,1,110.9518753743,110.9518753743,110.9518753743,5.0,,0
1013,SG,Singapore,116,2,148.8496630086,74.4248315043,80.6149968767,86.0,30.0,1
1014,IN,Bengaluru,252,5,754.7480693166,150.9496138633,260.1886736911,94.0,17.0,0
1015,DE,Munich,259,2,512.0284265368,256.0142132684,318.2804960357,54.0,6.0,0
1016,UK,London,258,2,228.1965272631,114.0982636316,145.6818376481,60.0,140.0,0
1017,US,SF,232,3,366.1824297305,122.0608099102,199.5352156954,35.0,44.5,1
1018,IN,Delhi,183,3,747.1802246552,249.0600748851,485.4209303585,16.0,33.0,0
1019,DE,Berlin,204,5,979.5952898805,195.9190579761,315.2776487947,40.0,37.5,0
1020,UK,Manchester,235,5,1036.5639032423,207.3127806485,375.5918771609,50.0,29.75,0
1021,SG,Singapore,164,2,376.6986830489,188.3493415245,288.6520975818,39.0,11.0,0
1022,IN,Hyderabad,268,5,819.7686402927,163.9537280585,233.22008101,26.0,41.75,0
1023,SG,Singapore,234,4,825.4131407119,206.353285178,379.6745420835,49.0,49.6666666667,0
1024,DE,Berlin,218,5,811.6551289765,162.3310257953,199.3062806385,20.0,26.25,0
1025,SG,Singapore,198,3,528.0153514191,176.0051171397,237.8119166786,123.0,34.5,1
1026,SG,Singapore,126,2,226.5310993679,113.2655496839,127.9569104951,91.0,18.0,1
1027,SG,Singapore,255,3,580.6670754737,193.5556918246,225.6384609817,100.0,37.0,0
1028,IN,Delhi,186,4,585.0457604185,146.2614401046,283.4989728505,27.0,34.0,0
1029,US,SF,168,2,253.9362808789,126.9681404394,179.7440699146,58.0,109.0,0
1030,IN,Bengaluru,288,4,537.7090942503,134.4272735626,194.7118814851,29.0,28.0,0
1031,IN,Hyderabad,165,7,1124.4567292888,160.6366756127,302.9846952037,7.0,24.5,0
1032,UK,Manchester,261,7,684.6485227168,97.8069318167,234.0084331643,36.0,23.0,0
1033,UK,London,284,3,797.3864202898,265.7954734299,393.0897421703,54.0,72.0,0
1034,UK,Manchester,90,1,93.3744342754,93.3744342754,93.3744342754,33.0,,0
1035,US,Austin,86,1,80.7328827726,80.7328827726,80.7328827726,6.0,,0
1036,UK,London,121,6,1123.0401247541,187.1733541257,528.8546179391,7.0,18.8,1
1037,SG,Singapore,232,3,915.0900540504,305.0300180168,541.0144011126,4.0,74.5,0
1038,SG,Singapore,277,7,850.7423768471,121.5346252639,256.5852965674,30.0,18.8333333333,0
1039,US,SF,148,1,158.4291322398,158.4291322398,158.4291322398,20.0,,0
1040,DE,Munich,202,2,548.2649281391,274.1324640696,414.4801515252,130.0,50.0,0
1041,SG,Singapore,272,5,1685.2251438307,337.0450287661,544.0283758261,6.0,46.0,0
1042,UK,London,190,2,443.8795584158,221.9397792079,307.427369511,22.0,36.0,0
1043,US,NYC,291,9,2435.4575199199,270.6063911022,460.3415839213,4.0,20.5,0
1044,UK,Manchester,99,1,100.5284380511,100.5284380511,100.5284380511,80.0,,0
1045,UK,London,242,3,434.3610037385,144.7870012462,275.8282441749,5.0,92.0,0
1046,US,Austin,153,1,363.4396074576,363.4396074576,363.4396074576,21.0,,0
1047,UK,London,230,2,328.3935321478,164.1967660739,202.2619279815,104.0,41.0,0
1048,DE,Munich,184,4,1383.7789257054,345.9447314264,733.5600119154,34.0,31.6666666667,0
1049,DE,Berlin,178,2,411.8588296882,205.9294148441,252.110092293,133.0,45.0,0
1050,UK,London,258,4,591.9523474809,147.9880868702,178.1303795825,44.0,46.3333333333,0
1051,US,Austin,86,2,196.9476349519,98.473817476,111.6152630221,44.0,7.0,0
1052,SG,Singapore,128,2,364.4661337014,182.2330668507,246.769081416,28.0,73.0,0
1053,SG,Singapore,92,0,,,,,,1
1054,SG,Singapore,102,1,191.902566578,191.902566578,191.902566578,26.0,,1
1055,UK,London,167,3,740.5449597485,246.8483199162,338.3886635752,76.0,31.5,0
1056,US,Austin,96,1,159.799976148,159.799976148,159.799976148,60.0,,1
1057,DE,Berlin,279,4,700.8784102885,175.2196025721,206.6220389782,109.0,29.3333333333,1
1058,IN,Delhi,255,7,801.6257462936,114.5179637562,161.8905676749,34.0,22.5,0
1059,US,Austin,289,9,1434.0165591192,159.3351732355,232.4665058224,51.0,16.625,0
1060,US,Austin,227,5,590.488881837,118.0977763674,174.4217408857,9.0,46.25,0
1061,DE,Berlin,213,8,1835.7221185959,229.4652648245,480.2170476609,3.0,27.5714285714,0
1062,DE,Munich,239,3,277.4983049353,92.4994349784,137.0697598579,78.0,51.5,0
1063,SG,Singapore,117,3,363.2192063873,121.0730687958,165.7216753785,15.0,40.5,1
1064,SG,Singapore,220,2,426.4519709161,213.2259854581,291.5911537162,10.0,190.0,0
1065,SG,Singapore,237,4,596.6164029357,149.1541007339,166.4848248585,12.0,34.3333333333,1
1066,IN,Mumbai,179,7,885.345485171,126.477926453,375.7033436602,60.0,19.1666666667,1
1067,UK,London,268,4,845.9296178059,211.4824044515,222.7789072638,62.0,42.0,0
1068,UK,Manchester,122,1,77.2117718347,77.2117718347,77.2117718347,68.0,,0
1069,US,SF,282,3,474.8995676391,158.2998558797,181.1103144939,21.0,30.0,0
1070,IN,Mumbai,82,0,,,,,,0
1071,SG,Singapore,129,3,347.7079834318,115.9026611439,189.4047929396,10.0,56.0,0
1072,SG,Singapore,255,1,487.86159114,487.86159114,487.86159114,21.0,,0
